2022-05-18 23:05:731 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:575 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (a10594f3eec52e57b89186839c77d365)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:558 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:433 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (cf10c77248e843a277d865ae795e2264)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:508 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (cf10c77248e843a277d865ae795e2264)] -> xpath: //input[@id='password']]
2022-05-19 17:05:638 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (cf10c77248e843a277d865ae795e2264)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:08 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:901 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (4f7cbcacfba077ca204a73ce3e233943)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:974 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (4f7cbcacfba077ca204a73ce3e233943)] -> xpath: //input[@id='password']]
2022-05-19 17:05:91 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (4f7cbcacfba077ca204a73ce3e233943)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:209 INFO  ProductPage :33 - Selecting text from filter drop down : [[ChromeDriver: chrome on WINDOWS (4f7cbcacfba077ca204a73ce3e233943)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:258 INFO  ProductPage :38 - Adding Lowest price product to basket : [[ChromeDriver: chrome on WINDOWS (4f7cbcacfba077ca204a73ce3e233943)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 17:05:334 INFO  ProductPage :43 - Adding highest price product to basket : [[ChromeDriver: chrome on WINDOWS (4f7cbcacfba077ca204a73ce3e233943)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 17:05:390 INFO  ProductPage :51 - Clicking on shopping cart : [[ChromeDriver: chrome on WINDOWS (4f7cbcacfba077ca204a73ce3e233943)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 17:05:658 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:693 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:774 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //input[@id='password']]
2022-05-19 17:05:911 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:30 INFO  ProductPage :33 - Selecting text from filter drop down : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:75 INFO  ProductPage :38 - Adding Lowest price product to basket : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 17:05:134 INFO  ProductPage :43 - Adding highest price product to basket : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 17:05:208 INFO  ProductPage :51 - Clicking on shopping cart : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 17:05:266 INFO  CheckOutPage :43 - Clicking on checkout button : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //button[@id='checkout']]
2022-05-19 17:05:350 INFO  CheckOutPage :48 - Sending Text to firstname field : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //input[@id='first-name']]
2022-05-19 17:05:425 INFO  CheckOutPage :53 - Sending Text to lastname field : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //input[@id='last-name']]
2022-05-19 17:05:510 INFO  CheckOutPage :58 - Sending Text to zipPostalCode field : HA0 4ER
2022-05-19 17:05:587 INFO  CheckOutPage :68 - Clicking on continue button : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //input[@id='continue']]
2022-05-19 17:05:683 INFO  CheckOutPage :72 - Clicking on finish button : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //button[@id='finish']]
2022-05-19 17:05:722 INFO  CheckOutPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a520a2ac950319276849c68b9425bc85)] -> xpath: //h2[normalize-space()='THANK YOU FOR YOUR ORDER']]
2022-05-19 17:05:908 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 17:05:66 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:149 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //input[@id='password']]
2022-05-19 17:05:276 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:387 INFO  ProductPage :33 - Selecting text from filter drop down : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:442 INFO  ProductPage :38 - Adding Lowest price product to basket : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 17:05:492 INFO  ProductPage :43 - Adding highest price product to basket : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 17:05:550 INFO  ProductPage :51 - Clicking on shopping cart : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 17:05:607 INFO  CheckOutPage :43 - Clicking on checkout button : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //button[@id='checkout']]
2022-05-19 17:05:691 INFO  CheckOutPage :48 - Sending Text to firstname field : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //input[@id='first-name']]
2022-05-19 17:05:790 INFO  CheckOutPage :53 - Sending Text to lastname field : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //input[@id='last-name']]
2022-05-19 17:05:858 INFO  CheckOutPage :58 - Sending Text to zipPostalCode field : HA0 4ER
2022-05-19 17:05:950 INFO  CheckOutPage :68 - Clicking on continue button : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //input[@id='continue']]
2022-05-19 17:05:30 INFO  CheckOutPage :72 - Clicking on finish button : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //button[@id='finish']]
2022-05-19 17:05:66 INFO  CheckOutPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (1f1eeba0de22fc8b2c4f11468cf2f598)] -> xpath: //h2[normalize-space()='THANK YOU FOR YOUR ORDER']]
2022-05-19 18:05:808 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 18:05:98 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //input[@id='user-name']]
2022-05-19 18:05:175 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //input[@id='password']]
2022-05-19 18:05:295 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //input[@id='login-button']]
2022-05-19 18:05:482 INFO  ProductPage :33 - Selecting text from filter drop down : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 18:05:550 INFO  ProductPage :38 - Adding Lowest price product to basket : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 18:05:608 INFO  ProductPage :43 - Adding highest price product to basket : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 18:05:675 INFO  ProductPage :51 - Clicking on shopping cart : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 18:05:758 INFO  CheckOutPage :43 - Clicking on checkout button : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //button[@id='checkout']]
2022-05-19 18:05:865 INFO  CheckOutPage :48 - Sending Text to firstname field : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //input[@id='first-name']]
2022-05-19 18:05:941 INFO  CheckOutPage :53 - Sending Text to lastname field : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //input[@id='last-name']]
2022-05-19 18:05:24 INFO  CheckOutPage :58 - Sending Text to zipPostalCode field : HA0 4ER
2022-05-19 18:05:97 INFO  CheckOutPage :68 - Clicking on continue button : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //input[@id='continue']]
2022-05-19 18:05:181 INFO  CheckOutPage :72 - Clicking on finish button : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //button[@id='finish']]
2022-05-19 18:05:221 INFO  CheckOutPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (08c33fe2cca472e90fd1691dfd796b0d)] -> xpath: //h2[normalize-space()='THANK YOU FOR YOUR ORDER']]
2022-05-19 22:05:37 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 22:05:491 INFO  LoginPage :32 - Sending text to Username field : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //input[@id='user-name']]
2022-05-19 22:05:548 INFO  LoginPage :37 - Sending text to password field : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //input[@id='password']]
2022-05-19 22:05:641 INFO  LoginPage :41 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //input[@id='login-button']]
2022-05-19 22:05:791 INFO  ProductPage :33 - Selecting text from filter drop down : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 22:05:835 INFO  ProductPage :38 - Adding Lowest price product to basket : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 22:05:878 INFO  ProductPage :43 - Adding highest price product to basket : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 22:05:937 INFO  ProductPage :51 - Clicking on shopping cart : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 22:05:996 INFO  CheckOutPage :43 - Clicking on checkout button : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //button[@id='checkout']]
2022-05-19 22:05:58 INFO  CheckOutPage :48 - Sending Text to firstname field : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //input[@id='first-name']]
2022-05-19 22:05:129 INFO  CheckOutPage :53 - Sending Text to lastname field : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //input[@id='last-name']]
2022-05-19 22:05:197 INFO  CheckOutPage :58 - Sending Text to zipPostalCode field : HA0 4ER
2022-05-19 22:05:264 INFO  CheckOutPage :68 - Clicking on continue button : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //input[@id='continue']]
2022-05-19 22:05:331 INFO  CheckOutPage :72 - Clicking on finish button : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //button[@id='finish']]
2022-05-19 22:05:355 INFO  CheckOutPage :77 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c6c2b1a007ee28b39eb2285c1b830754)] -> xpath: //h2[normalize-space()='THANK YOU FOR YOUR ORDER']]
